,precision,recall,f1,support
1,0.5807944465869649,0.608976951071573,0.5945519147256217,2473.0
2,0.7472579876013352,0.7742094861660079,0.7604950254792527,4048.0
3,0.8441524310118266,0.7889953328420536,0.8156424581005586,4071.0
avg,0.7240682884000421,0.724060590026545,0.7235631327684778,10592.0
