,class_id,pq,dq,sq,tp,fp,fn,precision,recall,f1,iou_sum
0,1,0.3034493679044452,0.40366505465280983,0.7517355401632188,2379.0,3303.0,3726.0,0.4186906019007392,0.38968058968058966,0.40366505472130315,1788.378850800033
1,2,0.2838268852263049,0.38503184707244714,0.7371517119541032,2418.0,3247.0,4477.0,0.42683142100617827,0.3506889050036258,0.385031847133758,1782.4328402421731
2,3,0.1423587410279651,0.18702290004953093,0.7611834753405224,49.0,233.0,193.0,0.17375886524822695,0.2024793388429752,0.18702290076335878,37.29799105286907
3,4,0.08371318899071542,0.1134751769025703,0.7377224805967169,32.0,371.0,129.0,0.0794044665012407,0.19875776397515527,0.11347517730496454,23.60712011681742
4,avg,0.20333704578735765,0.27229874466933957,0.7469483020136403,4878.0,7154.0,8525.0,0.2746713386640963,0.2854016493755865,0.2722987449808461,3631.7168022118926
