,precision,recall,f1,support
1,0.9456521739130435,0.8285714285714286,0.8832487309644669,315.0
2,0.8165443629086058,0.855944055944056,0.8357801297371116,1430.0
3,0.9841772151898734,0.8662952646239555,0.9214814814814813,359.0
4,0.9673311184939092,0.9781634938409854,0.9727171492204899,1786.0
5,0.8336633663366336,0.8332508659079664,0.8334570650829003,2021.0
6,0.7439759036144579,0.7307692307692307,0.7373134328358208,338.0
avg,0.8818906900760872,0.8488323899429372,0.8639996648870452,6249.0
