,class_id,pq,dq,sq,tp,fp,fn,precision,recall,f1,iou_sum
0,1,0.22801924959632125,0.32318578235208634,0.7055361406582905,982.0,1974.0,2139.0,0.33220568335588635,0.31464274271066967,0.32318578245844987,692.8364908319775
1,2,0.2843552792051634,0.38120433348924054,0.7459392620288492,1513.0,1753.0,3159.0,0.4632578077158604,0.3238441780821918,0.381204333585286,1128.6061041955882
2,3,0.29639469185509276,0.4097458122502645,0.7233623456145559,1749.0,1655.0,3384.0,0.513807285546416,0.3407364114552893,0.40974581234625745,1265.1607432032208
3,avg,0.2695897402188592,0.37137864269719706,0.7249459161005651,4244.0,5382.0,8682.0,0.43642359220605426,0.32640777741605026,0.3713786427966644,3086.6033382307864
