,class_id,pq,dq,sq,tp,fp,fn,precision,recall,f1,iou_sum
0,1,0.3205148546555554,0.48378434187821345,0.6625159743930715,1171.0,1657.0,842.0,0.4140735502121641,0.581718827620467,0.483784342078083,775.8062066768028
1,2,0.16750003795830504,0.25887096753316857,0.6470406455943872,321.0,1152.0,686.0,0.21792260692464357,0.3187686196623635,0.25887096774193546,207.70004788283893
2,3,0.3096092405682412,0.4697064331856924,0.6591547798661748,752.0,1350.0,348.0,0.3577545195052331,0.6836363636363636,0.4697064334790756,495.6843951185182
3,4,0.10384704308766425,0.15455593966653763,0.6719058698858134,67.0,264.0,469.0,0.20241691842900303,0.125,0.15455594002306805,45.017693954255364
4,5,0.08009713057906045,0.12499999913194446,0.6407770490823242,18.0,130.0,122.0,0.12162162162162163,0.12857142857142856,0.125,11.533987524258887
5,6,0.030526324482167272,0.053191488795835226,0.5738949063700096,5.0,100.0,78.0,0.047619047619047616,0.060240963855421686,0.05319148936170213,2.8694751057449546
6,avg,0.1686824385551656,0.2575181950318986,0.6425482041986301,2334.0,4653.0,2545.0,0.2269013773852855,0.31632270055767403,0.2575181954473107,1538.611806262419
