,class_id,pq,dq,sq,tp,fp,fn,precision,recall,f1,iou_sum
0,1,0.2501726959067074,0.34430379659669924,0.7266045230391333,136.0,93.0,425.0,0.5938864628820961,0.24242424242424243,0.34430379746835443,98.81821585992664
1,2,0.36149959618973626,0.45267489678063977,0.7985854721803011,605.0,430.0,1033.0,0.5845410628019324,0.3693528693528694,0.45267489711934156,483.1442114676676
2,3,0.4616163456789919,0.5924112592597032,0.7792160234358865,242.0,72.0,261.0,0.7707006369426752,0.48111332007952284,0.5924112607099143,188.57027845070056
3,4,0.310611110419965,0.4257281551331417,0.7295996439860193,877.0,532.0,1834.0,0.6224272533711852,0.3234968646255994,0.42572815533980585,639.8588885053385
4,5,0.24676243758038777,0.34045423865956637,0.7248035405637445,757.0,821.0,2112.0,0.4797211660329531,0.2638550017427675,0.3404542388126827,548.6762809315582
5,6,0.3288428579055274,0.4415584405158006,0.7447323564269183,187.0,165.0,308.0,0.53125,0.37777777777777777,0.44155844155844154,139.26495139656606
6,avg,0.32658417394688594,0.4328551311575917,0.7505902599386672,2804.0,2113.0,5973.0,0.5970877636718069,0.34300334600046317,0.4328551318347567,2098.332826611758
