,precision,recall,f1,support
1,0.9137931034482759,0.9074191502853519,0.9105949729557747,1577.0
2,0.723489932885906,0.6557177615571776,0.6879387364390556,822.0
3,0.5621546961325967,0.805940594059406,0.6623270951993491,1010.0
4,0.37850467289719625,0.1603960396039604,0.22531293463143254,505.0
5,0.1958762886597938,0.1532258064516129,0.17194570135746606,124.0
6,0.5208333333333334,0.3125,0.390625,80.0
avg,0.5491086712261837,0.49919989199291814,0.5081240734305129,4118.0
