,precision,recall,f1,support
1,0.970949263502455,0.9809838776353865,0.9759407772979642,4838.0
2,0.9838077381966933,0.9764845203857215,0.9801324503311257,5911.0
3,0.9333333333333333,0.7088607594936709,0.8057553956834533,79.0
4,0.5737704918032787,0.7291666666666666,0.6422018348623854,48.0
avg,0.8654652067089401,0.8488739560453614,0.8510076145437322,10876.0
