,class_id,pq,dq,sq,tp,fp,fn,precision,recall,f1,iou_sum
0,1,0.12354024516770684,0.18181818071625344,0.6794713525403958,30.0,72.0,198.0,0.29411764705882354,0.13157894736842105,0.18181818181818182,20.38414125568323
1,2,0.4174183377885512,0.5603366647953,0.7449420393381555,2663.0,1331.0,2848.0,0.6667501251877817,0.48321538740700415,0.5603366649132036,1983.7806515024502
2,3,0.3044822252704463,0.39795918164306543,0.7651091853524321,78.0,113.0,123.0,0.4083769633507853,0.3880597014925373,0.3979591836734694,59.678517222598884
3,4,0.23067831958267299,0.31336405457750216,0.7361352274232236,136.0,235.0,361.0,0.3665768194070081,0.27364185110663986,0.31336405529953915,100.11439166569363
4,5,0.42458523486603306,0.5554236883192862,0.7644348698033194,1170.0,823.0,1050.0,0.5870546914199699,0.527027027027027,0.5554236885829575,894.3887984343187
5,6,0.34257972762979444,0.44733581109375986,0.7658222729635009,361.0,378.0,514.0,0.4884979702300406,0.4125714285714286,0.4473358116480793,276.4618413056461
6,7,0.5932588705918149,0.7003154529948552,0.8471309151537075,111.0,47.0,48.0,0.7025316455696202,0.6981132075471698,0.7003154574132492,94.03153242919245
7,8,0.19246568133903327,0.2793296058175463,0.6890271468923664,25.0,60.0,69.0,0.29411764705882354,0.26595744680851063,0.27932960893854747,17.225679361336308
8,9,0.15513925566738052,0.21621621329437551,0.7175190671578383,16.0,39.0,77.0,0.2909090909090909,0.17204301075268819,0.21621621621621623,11.480305792044481
9,avg,0.3093497664337148,0.4057887614724383,0.7455102307361045,4590.0,3098.0,5288.0,0.45543695557688263,0.37246755645349183,0.40578876316704926,3457.545858968964
